lea-number,discount,cost,no-mutate,bucket
92S,20,11184,0,3
92D,20,11184,0,3
60F,20,11184,0,3
92E,20,23076,0,3
68C,20,11196,0,3
27A,20,8568,0,3
19B,20,23076,0,3
49B,40,21108,0,2
11B,40,11184,0,2
60S,40,21108,0,2
65A,40,23076,0,2
93Q,40,21108,0,2
13A,40,21108,0,2
92R,40,13320,0,2
61M,40,23076,0,2
65F,40,13320,0,2
36G,40,9900,0,2
60I,40,23076,0,2
41G,40,23076,0,2
60M,40,23076,0,2
61W,40,13320,0,2
68A,40,18912,0,2
92Y,40,23076,0,2
11A,40,23076,0,2
32R,40,13152,0,2
92B,40,13320,0,2
45B,40,9900,0,2
11K,40,9900,0,2
92F,40,21108,0,2
11C,40,23076,0,2
65D,40,11184,0,2
61J,40,11184,0,2
92U,40,23076,0,2
45A,40,9900,0,2
61X,40,23076,0,2
12A,40,11184,0,2
41D,40,10008,0,2
36B,40,31464,0,2
49E,40,34692,0,2
93N,40,23076,0,2
23A,40,23076,0,2
60Y,40,11184,0,2
61N,40,13320,0,2
92K,40,23076,0,2
93R,40,9900,0,2
32Q,40,13152,0,2
60J,40,21108,0,2
92P,40,18912,0,2
62J,40,11184,0,2
41N,40,11184,0,2
34H,40,23076,0,2
92T,40,23076,0,2
90A,40,21108,0,2
90B,40,11196,0,2
61K,40,11184,0,2
76A,40,19404,0,2
19C,40,10008,0,2
98B,40,28584,0,2
111,50,58128,0,1
681,50,108240,0,1
491,50,74460,0,1
900,50,161640,0,1
920,50,1018152,0,1
63A,50,11196,0,2
43C,50,10080,0,2
90F,50,10008,0,2
53B,50,25112,0,2
58B,50,18912,0,2
79A,50,11184,0,2
88A,50,16760,0,2
32K,50,21108,0,2
93L,50,9900,0,2
60K,50,13320,0,2
10A,50,23076,0,2
19A,50,11952,0,2
01C,50,13320,0,2
29A,50,13152,0,2
32T,50,11196,0,2
92G,50,34692,0,2
80B,50,9900,0,2
39A,50,21108,0,2
11D,50,23076,0,2
84B,50,21108,0,2
01D,50,13320,0,2
42B,50,10080,0,2
32D,50,21108,0,2
60D,50,28328,0,2
55A,50,34692,0,2
61Q,50,13320,0,2
63C,50,8952,0,2
36C,50,34692,0,2
51A,50,18912,0,2
41M,50,11184,0,2
70A,50,11952,0,2
94Z,50,11952,0,2
39B,50,18912,0,2
41K,50,21108,0,2
60G,50,23076,0,2
32N,50,28328,0,2
01B,50,21108,0,2
73B,50,18912,0,2
44A,50,13320,0,2
10B,50,20704,0,2
78B,50,11184,0,2
61L,50,11184,0,2
50A,50,18884,0,2
81A,50,23076,0,2
91A,50,18912,0,2
32L,50,31464,0,2
07A,50,10080,0,2
96F,50,23076,0,2
130,60,222072,0,1
150,60,28328,0,2
270,60,41412,0,1
861,60,31464,0,2
490,60,222072,0,1
680,60,84516,0,1
950,60,41412,0,1
13C,60,11196,0,2
26B,60,13152,0,2
09B,60,10080,0,2
81B,60,23076,0,2
90D,60,10008,0,2
87A,60,19640,0,2
36F,60,9900,0,2
62A,60,8952,0,2
61U,60,11184,0,2
61P,60,9900,0,2
20,70,41412,0,1
190,70,92916,0,1
280,70,74460,0,1
