lea-number,discount,cost
65G,90,11436
34D,90,11436
298,90,11436
298,90,13488
298,90,13692
480,90,26196
520,90,26196
995,80,26196
890,90,26196
380,80,26196
60,80,40176
720,80,40176
690,80,40176
421,80,40176
30,80,40176
580,90,40176
292,90,40176
660,90,40176
750,80,40176
870,80,40176
220,80,40176
422,90,40176
761,90,40176
291,90,40176
880,80,53148
70,90,53148
270,70,53148
210,80,53148
940,90,53148
460,90,53148
170,90,53148
500,80,53148
560,80,53148
930,90,53148
862,80,53148
241,90,53148
50,80,53148
40,90,53148
950,70,53148
80,90,53148
111,60,53148
181,80,54084
570,80,54084
20,80,58272
182,80,58272
610,80,58272
420,90,62208
620,90,62208
821,90,62208
200,80,121764
590,80,91980
350,80,94236
160,80,94236
680,60,94236
840,80,94236
132,90,94236
990,80,94236
830,90,96792
330,90,96792
700,80,96792
300,70,96792
910,90,96792
850,80,96792
240,90,96792
440,80,96792
770,90,96792
280,70,96792
730,80,96792
710,80,117564
190,80,121716
90,90,121716
820,90,121716
400,90,121716
970,80,121716
530,80,141132
140,80,126192
760,80,126192
630,70,132624
450,80,141132
860,80,141132
390,80,141132
980,90,141132
550,70,141132
810,90,141132
290,70,141132
491,60,141132
250,80,141132
230,90,141132
180,80,141132
960,90,162168
650,90,162168
470,90,179820
310,90,179820
670,80,180420
790,80,180420
681,50,180420
110,80,200184
120,80,200184
430,80,235560
640,90,235560
100,80,240084
740,80,213840
900,50,213840
800,80,239556
10,80,239556
540,90,290100
320,80,289848
130,60,317148
780,90,340416
490,60,340416
410,80,340416
360,80,340416
340,80,369036
260,90,369036
510,70,509196
920,60,1150980
600,80,1534644
49D,90,10872
27A,25,10872
60N,90,10872
93L,90,10872
95A,50,10764
41C,90,10764
60Y,40,10764
61L,90,10764
61P,40,10764
93J,90,10764
45A,40,10764
45B,40,10764
11K,40,10764
19C,40,11556
60U,90,11556
10B,50,11556
41N,40,11556
41M,90,11556
93R,40,11556
54A,90,11556
63C,80,23244
20A,80,23244
88A,70,12312
07A,50,12432
60L,90,12432
87A,70,12432
12A,40,12432
11B,40,12432
79A,50,12432
92D,20,12432
92K,40,12432
60M,40,12432
68C,40,12432
65D,40,12432
60F,20,12432
60P,80,12432
32P,90,12432
11C,40,12432
23A,20,12432
76A,40,12432
67B,90,12432
94Z,50,12432
96F,70,12432
42A,90,12432
13C,80,12432
61K,60,12432
32Q,50,12432
63A,70,12432
32R,40,12432
44A,80,12432
92B,40,12432
78A,80,12432
61Q,50,12432
09B,90,12432
53B,50,12432
96C,90,12432
11A,40,12432
93A,90,12432
78B,50,12432
97D,90,13164
43C,50,13164
26C,80,13164
73A,70,13164
32C,90,15036
65A,50,15180
69A,80,15552
50A,50,15576
01D,50,15576
32M,90,15576
10A,60,15576
24N,90,15576
60J,40,15576
32K,50,15576
65C,90,15576
39B,50,15576
91B,90,15576
60Q,40,15576
60V,90,15576
81B,60,15576
61M,50,15576
74B,60,15576
32S,90,15576
70A,50,15576
41K,40,15576
61N,40,15576
41H,90,15576
65F,40,15576
61U,20,15576
93N,20,15576
29A,40,15576
61T,80,15576
92F,20,15576
61X,40,15576
32B,90,15576
32A,90,15576
06B,90,15576
34B,90,15576
32D,50,15576
92E,40,15576
26B,90,15828
64A,90,26196
68A,40,26196
92R,50,26196
81A,50,26196
92P,40,26196
73B,50,26196
60I,40,26196
51A,50,26196
13A,40,26196
19A,50,26196
41F,80,26196
19B,70,26196
58B,50,26196
39A,50,26196
92U,40,26196
34H,40,26196
60K,40,26196
92T,40,26196
11D,60,26196
98B,50,26196
60S,40,26196
92Y,40,26196
36B,60,26196
41G,40,26196
84B,50,26196
91A,60,26196
01B,50,26196
60B,90,26196
66A,90,26196
60G,50,26196
861,60,40176
370,70,40176
90A,40,40176
49B,50,40176
32L,50,40176
49E,40,40176
55A,50,40176
92G,50,40176
36C,50,40176
32N,50,40176
33A,80,40176
60D,50,53148
150,60,53148
92S,20,12432
61W,40,12432
93Q,50,12432
61V,90,15180
34K,20,15180
09A,90,15576
61J,40,15576
08A,90,15576
35B,20,15576
32T,25,15576
90D,50,15576
80B,20,15576
36F,90,15576
41D,50,15576
42B,90,15576
36G,25,15576
62J,60,15576
94A,25,15576
62A,90,15576
01C,25,15576
