lea-number,discount,cost,no-mutate,bucket
995,80,26196,0,1
990,80,94236,0,3
98B,50,26196,0,2
980,90,141132,0,1
97D,90,13164,0,1
970,80,121716,0,2
96F,70,12432,0,1
96C,90,12432,0,2
960,90,162168,0,1
95A,50,10764,0,1
950,70,53148,0,1
94Z,50,12432,0,3
94A,25,15576,1,2
940,90,53148,0,2
93R,40,11556,0,0
93Q,50,12432,0,3
93N,20,15576,1,2
93L,90,10872,0,3
93J,90,10764,0,0
93A,90,12432,0,3
930,90,53148,0,0
92Y,40,26196,0,2
92U,40,26196,0,1
92T,40,26196,0,1
92S,20,12432,1,2
92R,50,26196,0,2
92P,40,26196,0,2
92K,40,12432,0,2
92G,50,40176,0,2
92F,20,15576,1,2
92E,40,15576,0,0
92D,20,12432,1,2
92B,40,12432,0,3
920,60,1150980,1,0
91B,90,15576,0,0
91A,60,26196,0,1
910,90,96792,0,0
90D,50,15576,0,1
90A,40,40176,0,1
900,50,213840,0,1
90,90,121716,0,0
890,90,26196,0,1
88A,70,12312,0,3
880,80,53148,0,0
87A,70,12432,0,0
870,80,40176,0,1
862,80,53148,0,2
861,60,40176,0,3
860,80,141132,0,3
850,80,96792,0,1
84B,50,26196,0,3
840,80,94236,0,0
830,90,96792,0,0
821,90,62208,0,2
820,90,121716,0,1
81B,60,15576,0,2
81A,50,26196,0,0
810,90,141132,0,0
80B,20,15576,1,2
800,80,239556,0,0
80,90,53148,0,0
79A,50,12432,0,0
790,80,180420,0,3
78B,50,12432,0,2
78A,80,12432,0,0
780,90,340416,1,0
770,90,96792,0,1
76A,40,12432,0,2
761,90,40176,0,2
760,80,126192,0,0
750,80,40176,0,3
74B,60,15576,0,1
740,80,213840,0,3
73B,50,26196,0,0
73A,70,13164,0,3
730,80,96792,0,0
720,80,40176,0,3
710,80,117564,0,3
70A,50,15576,0,3
700,80,96792,0,3
70,90,53148,0,0
69A,80,15552,0,1
690,80,40176,0,2
68C,40,12432,0,1
68A,40,26196,0,0
681,50,180420,0,1
680,60,94236,0,1
67B,90,12432,0,2
670,80,180420,0,0
66A,90,26196,0,0
660,90,40176,0,0
65G,90,11436,0,2
65F,40,15576,0,2
65D,40,12432,0,3
65C,90,15576,0,0
65A,50,15180,0,2
650,90,162168,0,1
64A,90,26196,0,1
640,90,235560,0,0
63C,80,23244,0,2
63A,70,12432,0,3
630,70,132624,0,2
62J,60,15576,0,2
62A,90,15576,0,0
620,90,62208,0,3
61X,40,15576,0,3
61W,40,12432,0,2
61V,90,15180,0,3
61U,20,15576,1,2
61T,80,15576,0,1
61Q,50,12432,0,2
61P,40,10764,0,0
61N,40,15576,0,2
61M,50,15576,0,2
61L,90,10764,0,1
61K,60,12432,0,3
61J,40,15576,0,2
610,80,58272,0,0
60Y,40,10764,0,3
60V,90,15576,0,2
60U,90,11556,0,0
60S,40,26196,0,1
60Q,40,15576,0,1
60P,80,12432,0,0
60N,90,10872,0,0
60M,40,12432,0,1
60L,90,12432,0,1
60K,40,26196,0,1
60J,40,15576,0,3
60I,40,26196,0,1
60G,50,26196,0,3
60F,20,12432,1,2
60D,50,53148,0,1
60B,90,26196,0,2
600,80,1534644,1,0
60,80,40176,0,1
590,80,91980,0,1
58B,50,26196,0,0
580,90,40176,0,3
570,80,54084,0,2
560,80,53148,0,3
55A,50,40176,0,2
550,70,141132,0,3
54A,90,11556,0,0
540,90,290100,1,0
53B,50,12432,0,2
530,80,141132,0,1
520,90,26196,0,3
51A,50,26196,0,3
510,70,509196,1,0
50A,50,15576,0,2
500,80,53148,0,1
50,80,53148,0,0
49E,40,40176,0,2
49D,90,10872,0,0
49B,50,40176,0,2
491,60,141132,0,2
490,60,340416,1,0
480,90,26196,0,3
470,90,179820,0,2
460,90,53148,0,2
45B,40,10764,0,3
45A,40,10764,0,3
450,80,141132,0,3
44A,80,12432,0,1
440,80,96792,0,0
43C,50,13164,0,2
430,80,235560,0,0
42B,90,15576,0,0
42A,90,12432,0,3
422,90,40176,0,3
421,80,40176,0,0
420,90,62208,0,3
41N,40,11556,0,1
41M,90,11556,0,0
41K,40,15576,0,2
41H,90,15576,0,2
41G,40,26196,0,3
41F,80,26196,0,1
41D,50,15576,0,1
41C,90,10764,0,1
410,80,340416,1,0
400,90,121716,0,0
40,90,53148,0,0
39B,50,15576,0,2
39A,50,26196,0,1
390,80,141132,0,3
380,80,26196,0,3
370,70,40176,0,1
36G,25,15576,1,2
36F,90,15576,0,1
36C,50,40176,0,1
36B,60,26196,0,1
360,80,340416,1,0
35B,20,15576,1,2
350,80,94236,0,0
34K,20,15180,1,2
34H,40,26196,0,2
34D,90,11436,0,3
34B,90,15576,0,3
340,80,369036,1,0
33A,80,40176,0,1
330,90,96792,0,0
32T,25,15576,1,2
32S,90,15576,0,0
32R,40,12432,0,3
32Q,50,12432,0,1
32P,90,12432,0,2
32N,50,40176,0,3
32M,90,15576,0,0
32L,50,40176,0,1
32K,50,15576,0,2
32D,50,15576,0,1
32C,90,15036,0,3
32B,90,15576,0,2
32A,90,15576,0,3
