lea-number,discount,cost,do-mutate,bucket
65G,90,11436,0,0
34D,90,11436,0,0
298,90,11436,1,0
298,90,13488,1,0
298,90,13692,1,0
480,90,26196,0,0
520,90,26196,0,0
995,80,26196,0,0
890,90,26196,0,0
380,80,26196,0,0
60,80,40176,0,0
720,80,40176,0,0
690,80,40176,0,0
421,80,40176,0,0
30,80,40176,0,0
580,90,40176,0,0
292,90,40176,0,0
660,90,40176,0,0
750,80,40176,0,0
870,80,40176,0,0
220,80,40176,0,0
422,90,40176,0,0
761,90,40176,0,0
291,90,40176,0,0
880,80,53148,0,0
70,90,53148,0,0
270,70,53148,0,0
210,80,53148,0,0
940,90,53148,0,0
460,90,53148,0,0
170,90,53148,0,0
500,80,53148,0,0
560,80,53148,0,0
930,90,53148,0,0
862,80,53148,0,0
241,90,53148,0,0
50,80,53148,0,0
40,90,53148,0,0
950,70,53148,0,0
80,90,53148,0,0
111,60,53148,0,0
181,80,54084,0,0
570,80,54084,0,0
20,80,58272,0,0
182,80,58272,0,0
610,80,58272,0,0
420,90,62208,0,0
620,90,62208,0,0
821,90,62208,0,0
200,80,121764,0,0
590,80,91980,0,0
350,80,94236,0,0
160,80,94236,0,0
680,60,94236,0,0
840,80,94236,0,0
132,90,94236,0,0
990,80,94236,0,0
830,90,96792,0,0
330,90,96792,0,0
700,80,96792,0,0
300,70,96792,0,0
910,90,96792,0,0
850,80,96792,0,0
240,90,96792,0,0
440,80,96792,0,0
770,90,96792,0,0
280,70,96792,0,0
730,80,96792,0,0
710,80,117564,0,0
190,80,121716,0,0
90,90,121716,0,0
820,90,121716,0,0
400,90,121716,0,0
970,80,121716,0,0
530,80,141132,0,0
140,80,126192,0,0
760,80,126192,0,0
630,70,132624,0,0
450,80,141132,0,0
860,80,141132,0,0
390,80,141132,0,0
980,90,141132,0,0
550,70,141132,0,0
810,90,141132,0,0
290,70,141132,0,0
491,60,141132,0,0
250,80,141132,0,0
230,90,141132,0,0
180,80,141132,0,0
960,90,162168,0,0
650,90,162168,0,0
470,90,179820,0,0
310,90,179820,0,0
670,80,180420,0,0
790,80,180420,0,0
681,50,180420,0,0
110,80,200184,0,0
120,80,200184,0,0
430,80,235560,0,0
640,90,235560,0,0
100,80,240084,0,0
740,80,213840,0,0
900,50,213840,0,0
800,80,239556,0,0
10,80,239556,0,0
540,90,290100,0,0
320,80,289848,0,0
130,60,317148,0,0
780,90,340416,0,0
490,60,340416,0,0
410,80,340416,0,0
360,80,340416,0,0
340,80,369036,0,0
260,90,369036,0,0
510,70,509196,0,0
920,60,1150980,1,0
600,80,1534644,1,0
49D,90,10872,0,0
27A,25,10872,0,0
60N,90,10872,0,0
93L,90,10872,0,0
95A,50,10764,0,0
41C,90,10764,0,0
60Y,40,10764,0,0
61L,90,10764,0,0
61P,40,10764,0,0
93J,90,10764,0,0
45A,40,10764,0,0
45B,40,10764,0,0
11K,40,10764,0,0
19C,40,11556,0,0
60U,90,11556,0,0
10B,50,11556,0,0
41N,40,11556,0,0
41M,90,11556,0,0
93R,40,11556,0,0
54A,90,11556,0,0
63C,80,23244,0,0
20A,80,23244,0,0
88A,70,12312,0,0
07A,50,12432,0,0
60L,90,12432,0,0
87A,70,12432,0,0
12A,40,12432,0,0
11B,40,12432,0,0
79A,50,12432,0,0
92D,20,12432,0,0
92K,40,12432,0,0
60M,40,12432,0,0
68C,40,12432,0,0
65D,40,12432,0,0
60F,20,12432,0,0
60P,80,12432,0,0
32P,90,12432,0,0
11C,40,12432,0,0
23A,20,12432,0,0
76A,40,12432,0,0
67B,90,12432,0,0
94Z,50,12432,0,0
96F,70,12432,0,0
42A,90,12432,0,0
13C,80,12432,0,0
61K,60,12432,0,0
32Q,50,12432,0,0
63A,70,12432,0,0
32R,40,12432,0,0
44A,80,12432,0,0
92B,40,12432,0,0
78A,80,12432,0,0
61Q,50,12432,0,0
09B,90,12432,0,0
53B,50,12432,0,0
96C,90,12432,0,0
11A,40,12432,0,0
93A,90,12432,0,0
78B,50,12432,0,0
97D,90,13164,0,0
43C,50,13164,0,0
26C,80,13164,0,0
73A,70,13164,0,0
32C,90,15036,0,0
65A,50,15180,0,0
69A,80,15552,0,0
50A,50,15576,0,0
01D,50,15576,0,0
32M,90,15576,0,0
10A,60,15576,0,0
24N,90,15576,0,0
60J,40,15576,0,0
32K,50,15576,0,0
65C,90,15576,0,0
39B,50,15576,0,0
91B,90,15576,0,0
60Q,40,15576,0,0
60V,90,15576,0,0
81B,60,15576,0,0
61M,50,15576,0,0
74B,60,15576,0,0
32S,90,15576,0,0
70A,50,15576,0,0
41K,40,15576,0,0
61N,40,15576,0,0
41H,90,15576,0,0
65F,40,15576,0,0
61U,20,15576,0,0
93N,20,15576,0,0
29A,40,15576,0,0
61T,80,15576,0,0
92F,20,15576,0,0
61X,40,15576,0,0
32B,90,15576,0,0
32A,90,15576,0,0
06B,90,15576,0,0
34B,90,15576,0,0
32D,50,15576,0,0
92E,40,15576,0,0
26B,90,15828,0,0
64A,90,26196,0,0
68A,40,26196,0,0
92R,50,26196,0,0
81A,50,26196,0,0
92P,40,26196,0,0
73B,50,26196,0,0
60I,40,26196,0,0
51A,50,26196,0,0
