--- iteration: 4366163, discount-total: 15475024.68 ---
--- max-delta: 440504.68, p-max-delta: 1205.52, iteration-delta: 1151739 ---
lea-number,discount,cost,bucket
65G,90,11436,3
34D,90,11436,3
298,90,11436,3
298,90,13488,0
298,90,13692,0
480,90,26196,1
520,90,26196,1
995,80,26196,0
890,90,26196,1
380,80,26196,0
60,80,40176,0
720,80,40176,0
690,80,40176,0
421,80,40176,0
30,80,40176,0
580,90,40176,1
292,90,40176,1
660,90,40176,1
750,80,40176,0
870,80,40176,0
220,80,40176,0
422,90,40176,1
761,90,40176,1
291,90,40176,1
880,80,53148,0
70,90,53148,1
270,70,53148,0
210,80,53148,0
940,90,53148,1
460,90,53148,1
170,90,53148,1
500,80,53148,0
560,80,53148,0
930,90,53148,1
862,80,53148,0
241,90,53148,1
50,80,53148,0
40,90,53148,1
950,70,53148,0
80,90,53148,1
111,60,53148,0
181,80,54084,0
570,80,54084,0
20,80,58272,0
182,80,58272,1
610,80,58272,0
420,90,62208,1
620,90,62208,1
821,90,62208,1
200,80,121764,1
590,80,91980,1
350,80,94236,1
160,80,94236,1
680,60,94236,0
840,80,94236,1
132,90,94236,1
990,80,94236,1
830,90,96792,1
330,90,96792,1
700,80,96792,1
300,70,96792,0
910,90,96792,1
850,80,96792,1
240,90,96792,1
440,80,96792,1
770,90,96792,1
280,70,96792,0
730,80,96792,1
710,80,117564,1
190,80,121716,1
90,90,121716,1
820,90,121716,1
400,90,121716,1
970,80,121716,1
530,80,141132,1
140,80,126192,1
760,80,126192,1
630,70,132624,0
450,80,141132,1
860,80,141132,1
390,80,141132,1
980,90,141132,1
550,70,141132,1
810,90,141132,1
290,70,141132,1
491,60,141132,0
250,80,141132,1
230,90,141132,1
180,80,141132,1
960,90,162168,1
650,90,162168,1
470,90,179820,1
310,90,179820,1
670,80,180420,1
790,80,180420,1
681,50,180420,0
110,80,200184,1
120,80,200184,1
430,80,235560,1
640,90,235560,1
100,80,240084,1
740,80,213840,1
900,50,213840,0
800,80,239556,1
10,80,239556,1
540,90,290100,1
320,80,289848,1
130,60,317148,1
780,90,340416,1
490,60,340416,1
410,80,340416,1
360,80,340416,1
340,80,369036,1
260,90,369036,1
510,70,509196,1
920,60,1150980,1
600,80,1534644,1
49D,90,10872,3
27A,25,10872,2
60N,90,10872,3
93L,90,10872,3
95A,50,10764,2
41C,90,10764,3
60Y,40,10764,2
61L,90,10764,3
61P,40,10764,2
93J,90,10764,3
45A,40,10764,2
45B,40,10764,2
11K,40,10764,2
19C,40,11556,2
60U,90,11556,0
10B,50,11556,2
41N,40,11556,2
41M,90,11556,3
93R,40,11556,2
54A,90,11556,0
63C,80,23244,0
20A,80,23244,0
88A,70,12312,2
07A,50,12432,2
60L,90,12432,0
87A,70,12432,2
12A,40,12432,2
11B,40,12432,2
79A,50,12432,2
92D,20,12432,2
92K,40,12432,2
60M,40,12432,2
68C,40,12432,2
65D,40,12432,2
60F,20,12432,2
60P,80,12432,3
32P,90,12432,0
11C,40,12432,2
23A,20,12432,2
76A,40,12432,2
67B,90,12432,0
94Z,50,12432,2
96F,70,12432,2
42A,90,12432,0
13C,80,12432,3
61K,60,12432,2
32Q,50,12432,2
63A,70,12432,2
32R,40,12432,2
44A,80,12432,3
92B,40,12432,2
78A,80,12432,3
61Q,50,12432,2
09B,90,12432,0
53B,50,12432,2
96C,90,12432,0
11A,40,12432,2
93A,90,12432,0
78B,50,12432,2
97D,90,13164,0
43C,50,13164,2
26C,80,13164,3
73A,70,13164,3
32C,90,15036,0
65A,50,15180,2
69A,80,15552,3
50A,50,15576,2
01D,50,15576,2
32M,90,15576,1
10A,60,15576,2
24N,90,15576,0
60J,40,15576,2
32K,50,15576,2
65C,90,15576,0
39B,50,15576,2
91B,90,15576,1
60Q,40,15576,2
60V,90,15576,0
81B,60,15576,2
61M,50,15576,2
74B,60,15576,3
32S,90,15576,1
70A,50,15576,2
41K,40,15576,2
61N,40,15576,2
41H,90,15576,0
65F,40,15576,2
61U,20,15576,2
93N,20,15576,2
29A,40,15576,2
61T,80,15576,3
92F,20,15576,2
61X,40,15576,2
32B,90,15576,1
32A,90,15576,1
06B,90,15576,0
34B,90,15576,1
32D,50,15576,2
92E,40,15576,2
26B,90,15828,1
64A,90,26196,1
68A,40,26196,2
92R,50,26196,3
81A,50,26196,3
92P,40,26196,3
73B,50,26196,3
60I,40,26196,3
51A,50,26196,3
13A,40,26196,3
19A,50,26196,3
41F,80,26196,0
19B,70,26196,3
58B,50,26196,3
39A,50,26196,3
92U,40,26196,2
34H,40,26196,3
60K,40,26196,3
92T,40,26196,3
11D,60,26196,3
98B,50,26196,3
60S,40,26196,3
92Y,40,26196,2
36B,60,26196,3
41G,40,26196,3
84B,50,26196,3
91A,60,26196,3
01B,50,26196,3
60B,90,26196,1
66A,90,26196,1
60G,50,26196,3
861,60,40176,3
370,70,40176,0
90A,40,40176,3
49B,50,40176,3
32L,50,40176,3
49E,40,40176,3
55A,50,40176,3
92G,50,40176,3
36C,50,40176,3
32N,50,40176,3
33A,80,40176,0
60D,50,53148,3
150,60,53148,0
92S,20,12432,2
61W,40,12432,2
93Q,50,12432,2
61V,90,15180,0
34K,20,15180,2
09A,90,15576,0
61J,40,15576,2
08A,90,15576,0
35B,20,15576,2
32T,25,15576,2
90D,50,15576,2
80B,20,15576,2
36F,90,15576,1
41D,50,15576,2
42B,90,15576,0
36G,25,15576,2
62J,60,15576,3
94A,25,15576,2
62A,90,15576,0
01C,25,15576,2
