n: 0, count: 29, avg: 0.029
n: 1, count: 32, avg: 0.032
n: 2, count: 31, avg: 0.031
n: 3, count: 30, avg: 0.03
n: 4, count: 40, avg: 0.04
n: 5, count: 34, avg: 0.034
n: 6, count: 24, avg: 0.024
n: 7, count: 35, avg: 0.035
n: 8, count: 21, avg: 0.021
n: 9, count: 34, avg: 0.034
n: 10, count: 38, avg: 0.038
n: 11, count: 33, avg: 0.033
n: 12, count: 32, avg: 0.032
n: 13, count: 33, avg: 0.033
n: 14, count: 27, avg: 0.027
n: 15, count: 25, avg: 0.025
n: 16, count: 37, avg: 0.037
n: 17, count: 28, avg: 0.028
n: 18, count: 34, avg: 0.034
n: 19, count: 36, avg: 0.036
n: 20, count: 28, avg: 0.028
n: 21, count: 36, avg: 0.036
n: 22, count: 26, avg: 0.026
n: 23, count: 26, avg: 0.026
n: 24, count: 28, avg: 0.028
n: 25, count: 35, avg: 0.035
n: 26, count: 32, avg: 0.032
n: 27, count: 30, avg: 0.03
n: 28, count: 35, avg: 0.035
n: 29, count: 39, avg: 0.039
n: 30, count: 24, avg: 0.024
n: 31, count: 28, avg: 0.028
